id,age,gender,race,education,income,y
59,33,Female,White,College and above,"$75,000 or more",Doctor
60,43,Male,White,Under College,"$75,000 or more",Internet
62,47,Male,White,Under College,"$75,000 or more",Doctor
64,82,Female,White,Under College,"$20,000 to $74,999",Others
66,72,Female,White,Under College,"$20,000 to $74,999",Internet
67,64,Male,White,College and above,"$75,000 or more",Internet
68,63,Male,White,College and above,"$75,000 or more",Others
69,67,Female,White,College and above,"$20,000 to $74,999",Internet
70,76,Female,White,College and above,"$75,000 or more",Internet
71,77,Female,White,Under College,"$20,000 to $74,999",Doctor
74,70,Male,White,College and above,"$75,000 or more",Internet
75,91,Female,White,Under College,"$75,000 or more",Doctor
77,54,Male,White,College and above,"$75,000 or more",Internet
78,61,Female,White,College and above,"$0 to $19,999",Internet
80,90,Female,White,College and above,"$20,000 to $74,999",Doctor
82,53,Female,White,Under College,"$75,000 or more",Others
83,44,Male,Others,College and above,"$0 to $19,999",Doctor
84,71,Male,White,Under College,"$75,000 or more",Internet
87,66,Female,White,Under College,"$0 to $19,999",Internet
88,74,Female,Others,College and above,"$20,000 to $74,999",Internet
90,63,Female,White,Under College,"$75,000 or more",Internet
91,81,Male,White,College and above,"$75,000 or more",Doctor
93,27,Male,Others,College and above,"$20,000 to $74,999",Internet
96,50,Female,White,College and above,"$75,000 or more",Others
98,40,Female,White,College and above,"$75,000 or more",Internet
100,67,Male,White,Under College,"$75,000 or more",Others
101,64,Female,White,Under College,"$20,000 to $74,999",Internet
102,24,Male,White,College and above,"$20,000 to $74,999",Internet
103,70,Male,White,College and above,"$75,000 or more",Internet
104,40,Female,White,Under College,"$20,000 to $74,999",Internet
105,41,Female,White,College and above,"$75,000 or more",Internet
106,36,Female,White,College and above,"$75,000 or more",Internet
108,51,Male,White,Under College,"$75,000 or more",Internet
109,61,Male,White,College and above,"$75,000 or more",Internet
111,64,Female,White,College and above,"$75,000 or more",Internet
112,48,Male,White,Under College,"$20,000 to $74,999",Internet
114,73,Female,White,Under College,"$0 to $19,999",Doctor
115,78,Female,White,Under College,"$20,000 to $74,999",Internet
116,62,Female,White,Under College,"$20,000 to $74,999",Internet
118,38,Male,White,Under College,"$75,000 or more",Internet
119,61,Female,White,College and above,"$75,000 or more",Internet
120,74,Male,White,College and above,"$75,000 or more",Internet
121,69,Male,White,Under College,"$20,000 to $74,999",Others
124,60,Female,White,College and above,"$20,000 to $74,999",Internet
126,65,Male,White,College and above,"$75,000 or more",Internet
128,35,Female,White,College and above,"$75,000 or more",Internet
130,53,Female,White,College and above,"$20,000 to $74,999",Internet
131,25,Male,White,College and above,"$20,000 to $74,999",Internet
132,47,Female,White,College and above,"$75,000 or more",Internet
133,74,Male,White,College and above,"$75,000 or more",Internet
135,73,Male,White,College and above,"$75,000 or more",Others
136,60,Male,White,Under College,"$75,000 or more",Internet
137,30,Male,Others,College and above,"$20,000 to $74,999",Internet
138,54,Male,White,College and above,"$20,000 to $74,999",Internet
143,65,Male,White,College and above,"$75,000 or more",Internet
144,50,Male,White,College and above,"$75,000 or more",Doctor
145,59,Male,White,Under College,"$75,000 or more",Doctor
147,55,Female,White,Under College,"$20,000 to $74,999",Internet
149,66,Male,White,Under College,"$20,000 to $74,999",Internet
150,39,Female,White,College and above,"$75,000 or more",Internet
152,49,Female,White,Under College,"$20,000 to $74,999",Internet
153,63,Female,White,Under College,"$20,000 to $74,999",Internet
155,42,Female,White,Under College,"$20,000 to $74,999",Internet
157,86,Male,White,College and above,"$20,000 to $74,999",Others
158,28,Female,White,College and above,"$20,000 to $74,999",Internet
159,66,Female,White,Under College,"$20,000 to $74,999",Internet
162,76,Male,White,Under College,"$20,000 to $74,999",Internet
163,31,Female,White,Under College,"$20,000 to $74,999",Internet
164,75,Female,White,Under College,"$20,000 to $74,999",Others
165,74,Male,White,Under College,"$20,000 to $74,999",Doctor
167,67,Female,White,College and above,"$20,000 to $74,999",Internet
170,58,Male,White,College and above,"$75,000 or more",Internet
171,86,Female,White,College and above,"$75,000 or more",Doctor
172,35,Female,White,College and above,"$75,000 or more",Internet
175,60,Female,White,College and above,"$75,000 or more",Internet
176,72,Male,White,College and above,"$20,000 to $74,999",Internet
177,60,Female,White,Under College,"$20,000 to $74,999",Internet
178,70,Female,White,College and above,"$20,000 to $74,999",Internet
179,68,Male,White,Under College,"$75,000 or more",Internet
182,58,Male,White,Under College,"$75,000 or more",Internet
183,69,Female,White,Under College,"$0 to $19,999",Internet
186,46,Female,Others,College and above,"$75,000 or more",Internet
189,56,Female,White,College and above,"$75,000 or more",Internet
190,58,Female,White,Under College,"$20,000 to $74,999",Internet
191,58,Male,White,College and above,"$75,000 or more",Internet
192,43,Female,White,College and above,"$75,000 or more",Internet
195,37,Female,White,College and above,"$75,000 or more",Internet
197,45,Female,White,Under College,"$20,000 to $74,999",Internet
199,25,Male,White,Under College,"$20,000 to $74,999",Internet
200,23,Female,White,College and above,"$75,000 or more",Internet
201,29,Female,White,Under College,"$0 to $19,999",Internet
202,50,Male,White,Under College,"$75,000 or more",Internet
203,46,Male,White,College and above,"$75,000 or more",Internet
206,54,Female,White,College and above,"$20,000 to $74,999",Internet
208,68,Female,White,Under College,"$20,000 to $74,999",Internet
210,55,Female,White,College and above,"$20,000 to $74,999",Doctor
211,57,Female,White,Under College,"$0 to $19,999",Doctor
212,29,Female,White,Under College,"$0 to $19,999",Internet
213,57,Female,White,College and above,"$75,000 or more",Internet
214,59,Female,White,Under College,"$75,000 or more",Internet
215,64,Male,White,Under College,"$0 to $19,999",Doctor
216,61,Female,White,Under College,"$20,000 to $74,999",Others
218,56,Female,White,College and above,"$75,000 or more",Internet
219,66,Female,White,College and above,"$20,000 to $74,999",Internet
221,45,Female,White,Under College,"$20,000 to $74,999",Internet
223,41,Male,White,Under College,"$75,000 or more",Internet
224,63,Male,White,College and above,"$20,000 to $74,999",Internet
226,46,Female,White,College and above,"$75,000 or more",Internet
229,48,Male,White,College and above,"$75,000 or more",Internet
230,53,Male,White,Under College,"$75,000 or more",Internet
235,49,Male,White,College and above,"$75,000 or more",Internet
237,53,Female,White,Under College,"$20,000 to $74,999",Doctor
238,69,Male,White,Under College,"$20,000 to $74,999",Doctor
243,53,Male,White,College and above,"$75,000 or more",Doctor
244,59,Female,White,College and above,"$75,000 or more",Doctor
245,60,Female,White,College and above,"$20,000 to $74,999",Doctor
246,51,Female,White,College and above,"$20,000 to $74,999",Internet
247,59,Female,Others,Under College,"$20,000 to $74,999",Internet
249,33,Female,White,College and above,"$75,000 or more",Internet
251,28,Female,White,Under College,"$75,000 or more",Internet
253,67,Female,White,Under College,"$75,000 or more",Internet
254,33,Male,White,College and above,"$75,000 or more",Internet
255,35,Female,White,College and above,"$20,000 to $74,999",Internet
258,78,Male,White,Under College,"$20,000 to $74,999",Doctor
261,65,Male,White,College and above,"$75,000 or more",Internet
262,22,Male,White,Under College,"$20,000 to $74,999",Doctor
263,50,Male,Others,Under College,"$20,000 to $74,999",Internet
264,64,Male,White,Under College,"$75,000 or more",Internet
265,20,Female,White,Under College,"$20,000 to $74,999",Doctor
266,37,Male,White,Under College,"$20,000 to $74,999",Internet
267,51,Male,White,Under College,"$20,000 to $74,999",Doctor
268,51,Male,White,Under College,"$20,000 to $74,999",Internet
269,39,Male,White,College and above,"$75,000 or more",Internet
270,65,Female,White,College and above,"$75,000 or more",Internet
273,52,Male,White,Under College,"$20,000 to $74,999",Internet
274,34,Female,White,College and above,"$20,000 to $74,999",Internet
275,34,Male,White,College and above,"$75,000 or more",Internet
276,72,Female,White,Under College,"$75,000 or more",Internet
278,76,Female,White,College and above,"$75,000 or more",Internet
280,22,Female,White,College and above,"$20,000 to $74,999",Internet
281,79,Female,Others,Under College,"$20,000 to $74,999",Doctor
282,30,Male,White,College and above,"$75,000 or more",Internet
283,52,Female,Others,Under College,"$20,000 to $74,999",Others
285,68,Male,White,College and above,"$75,000 or more",Doctor
286,63,Male,White,Under College,"$75,000 or more",Internet
287,39,Female,White,College and above,"$75,000 or more",Internet
288,70,Female,White,College and above,"$75,000 or more",Others
289,23,Female,White,College and above,"$20,000 to $74,999",Internet
290,55,Male,White,Under College,"$20,000 to $74,999",Internet
292,38,Male,White,College and above,"$75,000 or more",Internet
293,66,Female,White,Under College,"$0 to $19,999",Internet
294,74,Female,White,College and above,"$75,000 or more",Others
296,56,Male,White,Under College,"$20,000 to $74,999",Internet
297,68,Male,White,Under College,"$75,000 or more",Internet
299,60,Female,White,College and above,"$75,000 or more",Internet
300,20,Female,White,Under College,"$20,000 to $74,999",Internet
302,75,Male,White,College and above,"$20,000 to $74,999",Internet
304,41,Female,White,Under College,"$75,000 or more",Internet
307,86,Female,White,Under College,"$20,000 to $74,999",Doctor
309,61,Male,White,Under College,"$20,000 to $74,999",Internet
310,57,Female,White,Under College,"$20,000 to $74,999",Internet
313,22,Female,White,College and above,"$75,000 or more",Internet
314,37,Male,White,Under College,"$20,000 to $74,999",Internet
315,45,Female,Others,College and above,"$75,000 or more",Internet
317,44,Female,White,College and above,"$75,000 or more",Doctor
318,68,Male,White,Under College,"$20,000 to $74,999",Others
321,52,Female,Others,Under College,"$20,000 to $74,999",Doctor
322,50,Female,White,College and above,"$75,000 or more",Internet
324,86,Female,White,Under College,"$20,000 to $74,999",Others
325,66,Female,White,Under College,"$75,000 or more",Internet
326,62,Female,White,College and above,"$75,000 or more",Internet
327,44,Female,White,College and above,"$75,000 or more",Doctor
329,33,Female,White,College and above,"$75,000 or more",Internet
330,63,Female,White,Under College,"$0 to $19,999",Others
334,61,Female,White,College and above,"$20,000 to $74,999",Internet
335,59,Male,White,College and above,"$20,000 to $74,999",Internet
336,35,Male,White,College and above,"$20,000 to $74,999",Internet
337,63,Female,White,College and above,"$75,000 or more",Internet
338,29,Male,White,College and above,"$20,000 to $74,999",Internet
340,60,Male,White,College and above,"$75,000 or more",Internet
341,43,Female,Others,Under College,"$75,000 or more",Internet
342,62,Female,White,College and above,"$20,000 to $74,999",Internet
343,70,Male,White,College and above,"$75,000 or more",Internet
344,58,Female,White,Under College,"$75,000 or more",Internet
345,64,Male,White,Under College,"$20,000 to $74,999",Doctor
347,69,Male,White,College and above,"$75,000 or more",Internet
349,68,Male,White,Under College,"$20,000 to $74,999",Doctor
351,72,Male,White,College and above,"$75,000 or more",Internet
353,72,Female,White,College and above,"$75,000 or more",Internet
354,53,Female,White,College and above,"$20,000 to $74,999",Internet
356,40,Female,White,College and above,"$20,000 to $74,999",Internet
357,65,Female,White,College and above,"$75,000 or more",Internet
358,101,Female,White,Under College,"$0 to $19,999",Doctor
359,48,Male,White,College and above,"$75,000 or more",Internet
360,57,Male,Others,College and above,"$75,000 or more",Internet
364,56,Male,White,College and above,"$75,000 or more",Internet
367,60,Male,White,Under College,"$20,000 to $74,999",Internet
372,59,Female,White,Under College,"$20,000 to $74,999",Doctor
373,63,Male,White,College and above,"$20,000 to $74,999",Internet
374,26,Female,White,College and above,"$75,000 or more",Internet
375,64,Female,White,College and above,"$75,000 or more",Doctor
379,66,Male,White,College and above,"$75,000 or more",Internet
380,75,Male,White,College and above,"$75,000 or more",Internet
381,54,Female,White,College and above,"$75,000 or more",Internet
384,59,Male,White,Under College,"$0 to $19,999",Internet
385,61,Female,White,Under College,"$20,000 to $74,999",Internet
387,62,Male,White,College and above,"$75,000 or more",Internet
390,45,Male,Others,College and above,"$75,000 or more",Internet
393,39,Male,White,Under College,"$75,000 or more",Internet
397,59,Female,White,Under College,"$20,000 to $74,999",Internet
398,67,Male,White,College and above,"$75,000 or more",Internet
399,43,Female,White,College and above,"$75,000 or more",Internet
400,72,Male,White,Under College,"$20,000 to $74,999",Internet
401,64,Male,White,Under College,"$75,000 or more",Internet
402,85,Female,White,Under College,"$20,000 to $74,999",Doctor
403,58,Male,White,College and above,"$75,000 or more",Internet
404,66,Male,White,Under College,"$20,000 to $74,999",Internet
405,67,Female,White,College and above,"$20,000 to $74,999",Internet
406,53,Female,White,College and above,"$75,000 or more",Internet
407,60,Female,White,Under College,"$75,000 or more",Internet
409,47,Female,White,College and above,"$75,000 or more",Internet
410,76,Male,White,College and above,"$75,000 or more",Doctor
411,42,Male,White,College and above,"$75,000 or more",Internet
412,93,Male,White,Under College,"$0 to $19,999",Others
413,71,Female,White,Under College,"$20,000 to $74,999",Doctor
414,36,Female,White,Under College,"$20,000 to $74,999",Internet
416,36,Male,White,College and above,"$75,000 or more",Internet
417,55,Female,White,College and above,"$75,000 or more",Doctor
419,63,Female,White,College and above,"$75,000 or more",Doctor
420,66,Male,White,College and above,"$20,000 to $74,999",Internet
423,27,Male,White,College and above,"$75,000 or more",Internet
424,38,Female,White,College and above,"$20,000 to $74,999",Internet
430,63,Female,White,College and above,"$75,000 or more",Internet
431,46,Female,White,College and above,"$20,000 to $74,999",Doctor
432,61,Male,White,Under College,"$0 to $19,999",Doctor
435,34,Female,White,College and above,"$75,000 or more",Internet
436,45,Female,White,College and above,"$75,000 or more",Internet
437,66,Male,White,College and above,"$20,000 to $74,999",Internet
439,53,Female,White,Under College,"$75,000 or more",Internet
440,33,Male,White,College and above,"$75,000 or more",Internet
441,36,Female,White,College and above,"$20,000 to $74,999",Internet
444,57,Male,White,College and above,"$75,000 or more",Internet
446,57,Male,White,Under College,"$0 to $19,999",Internet
447,52,Male,White,College and above,"$75,000 or more",Internet
448,75,Female,White,Under College,"$0 to $19,999",Internet
450,57,Male,White,College and above,"$20,000 to $74,999",Internet
451,60,Female,White,Under College,"$75,000 or more",Internet
455,51,Male,White,College and above,"$75,000 or more",Internet
459,35,Female,White,College and above,"$75,000 or more",Others
460,44,Female,White,College and above,"$20,000 to $74,999",Internet
461,46,Female,White,College and above,"$75,000 or more",Internet
462,63,Female,Others,College and above,"$20,000 to $74,999",Internet
465,64,Female,White,College and above,"$75,000 or more",Internet
468,77,Male,White,Under College,"$0 to $19,999",Doctor
469,88,Female,White,College and above,"$75,000 or more",Others
470,31,Female,White,College and above,"$20,000 to $74,999",Internet
473,64,Female,White,College and above,"$75,000 or more",Doctor
474,64,Male,White,Under College,"$20,000 to $74,999",Internet
475,67,Female,White,Under College,"$0 to $19,999",Internet
477,85,Female,Others,Under College,"$75,000 or more",Others
478,56,Female,White,College and above,"$75,000 or more",Internet
479,58,Male,Others,College and above,"$75,000 or more",Internet
480,74,Male,White,College and above,"$75,000 or more",Internet
481,83,Male,White,College and above,"$75,000 or more",Others
482,25,Female,White,College and above,"$75,000 or more",Internet
484,40,Female,White,College and above,"$75,000 or more",Internet
487,87,Female,White,Under College,"$0 to $19,999",Others
488,65,Male,White,College and above,"$20,000 to $74,999",Internet
490,58,Male,White,College and above,"$75,000 or more",Internet
491,80,Male,White,College and above,"$20,000 to $74,999",Internet
492,41,Female,White,Under College,"$75,000 or more",Internet
493,57,Female,White,College and above,"$75,000 or more",Internet
495,77,Male,White,Under College,"$20,000 to $74,999",Doctor
497,50,Female,White,College and above,"$75,000 or more",Internet
500,62,Female,White,College and above,"$20,000 to $74,999",Internet
501,49,Female,Others,College and above,"$75,000 or more",Internet
502,55,Female,White,College and above,"$75,000 or more",Internet
503,64,Female,White,Under College,"$20,000 to $74,999",Internet
505,56,Male,White,Under College,"$20,000 to $74,999",Internet
506,68,Female,White,College and above,"$75,000 or more",Internet
507,58,Male,White,Under College,"$20,000 to $74,999",Doctor
508,56,Male,White,Under College,"$20,000 to $74,999",Internet
511,67,Female,White,Under College,"$20,000 to $74,999",Doctor
512,51,Female,White,College and above,"$0 to $19,999",Internet
513,64,Female,White,College and above,"$75,000 or more",Internet
514,85,Female,White,Under College,"$20,000 to $74,999",Internet
515,50,Male,White,College and above,"$75,000 or more",Internet
516,64,Female,White,Under College,"$0 to $19,999",Doctor
517,61,Male,White,Under College,"$75,000 or more",Internet
518,57,Female,White,College and above,"$20,000 to $74,999",Internet
519,58,Female,White,Under College,"$75,000 or more",Internet
522,48,Female,White,Under College,"$0 to $19,999",Internet
525,73,Female,White,College and above,"$20,000 to $74,999",Internet
526,35,Male,White,College and above,"$75,000 or more",Internet
528,37,Female,White,College and above,"$75,000 or more",Internet
529,52,Male,White,College and above,"$75,000 or more",Internet
530,49,Female,White,College and above,"$75,000 or more",Internet
531,52,Male,White,Under College,"$20,000 to $74,999",Internet
533,30,Female,Others,College and above,"$75,000 or more",Internet
534,54,Male,White,College and above,"$75,000 or more",Internet
535,72,Male,White,College and above,"$20,000 to $74,999",Internet
536,62,Male,White,Under College,"$75,000 or more",Internet
539,74,Female,White,Under College,"$20,000 to $74,999",Internet
540,63,Female,White,Under College,"$20,000 to $74,999",Doctor
541,38,Male,Others,College and above,"$75,000 or more",Internet
542,37,Female,White,College and above,"$75,000 or more",Internet
543,60,Female,White,Under College,"$75,000 or more",Internet
544,64,Female,Others,Under College,"$20,000 to $74,999",Doctor
546,65,Female,White,College and above,"$20,000 to $74,999",Internet
547,48,Male,White,Under College,"$75,000 or more",Internet
551,80,Male,White,Under College,"$75,000 or more",Others
552,71,Female,White,Under College,"$20,000 to $74,999",Internet
554,49,Male,White,College and above,"$75,000 or more",Internet
555,35,Female,White,Under College,"$20,000 to $74,999",Internet
556,53,Male,White,College and above,"$75,000 or more",Doctor
558,49,Male,White,College and above,"$75,000 or more",Doctor
559,75,Female,White,Under College,"$20,000 to $74,999",Doctor
560,44,Female,White,College and above,"$20,000 to $74,999",Internet
562,56,Female,White,Under College,"$75,000 or more",Internet
564,74,Male,White,Under College,"$20,000 to $74,999",Internet
566,46,Male,White,Under College,"$20,000 to $74,999",Internet
568,58,Female,White,College and above,"$20,000 to $74,999",Others
570,75,Female,White,Under College,"$0 to $19,999",Others
572,59,Female,White,College and above,"$75,000 or more",Internet
573,90,Female,White,College and above,"$75,000 or more",Doctor
574,38,Female,White,Under College,"$20,000 to $74,999",Internet
578,58,Female,Others,College and above,"$20,000 to $74,999",Doctor
581,62,Male,Others,Under College,"$20,000 to $74,999",Internet
584,75,Male,White,College and above,"$20,000 to $74,999",Internet
585,70,Female,White,Under College,"$0 to $19,999",Doctor
587,57,Male,White,College and above,"$75,000 or more",Internet
588,63,Female,White,College and above,"$20,000 to $74,999",Doctor
589,72,Female,Others,Under College,"$20,000 to $74,999",Internet
590,57,Female,Others,College and above,"$20,000 to $74,999",Internet
591,67,Male,White,College and above,"$75,000 or more",Internet
592,35,Male,White,Under College,"$75,000 or more",Internet
595,34,Male,Others,College and above,"$20,000 to $74,999",Internet
596,46,Male,White,Under College,"$75,000 or more",Internet
598,51,Female,White,College and above,"$0 to $19,999",Others
599,52,Male,White,Under College,"$75,000 or more",Internet
600,77,Male,White,College and above,"$75,000 or more",Internet
602,78,Male,White,College and above,"$75,000 or more",Internet
603,77,Male,White,College and above,"$75,000 or more",Others
605,62,Female,White,College and above,"$20,000 to $74,999",Internet
606,66,Male,Others,College and above,"$75,000 or more",Internet
607,77,Female,White,Under College,"$0 to $19,999",Internet
609,50,Female,White,Under College,"$20,000 to $74,999",Internet
612,76,Male,White,Under College,"$20,000 to $74,999",Others
615,84,Male,White,Under College,"$0 to $19,999",Doctor
619,26,Male,White,College and above,"$20,000 to $74,999",Internet
621,52,Female,White,College and above,"$75,000 or more",Internet
622,68,Male,Others,College and above,"$20,000 to $74,999",Others
623,67,Male,White,Under College,"$75,000 or more",Doctor
624,78,Female,White,Under College,"$20,000 to $74,999",Others
629,26,Male,Others,College and above,"$20,000 to $74,999",Internet
634,56,Female,White,Under College,"$75,000 or more",Internet
636,56,Male,White,Under College,"$75,000 or more",Internet
637,67,Male,White,College and above,"$75,000 or more",Internet
639,75,Male,White,College and above,"$75,000 or more",Internet
641,81,Female,White,Under College,"$0 to $19,999",Doctor
643,70,Female,White,Under College,"$20,000 to $74,999",Internet
644,39,Male,White,Under College,"$20,000 to $74,999",Others
645,71,Female,White,Under College,"$20,000 to $74,999",Internet
646,73,Male,White,Under College,"$75,000 or more",Internet
647,71,Female,White,College and above,"$20,000 to $74,999",Internet
649,32,Female,White,College and above,"$20,000 to $74,999",Internet
651,52,Male,White,College and above,"$75,000 or more",Internet
652,76,Male,White,College and above,"$20,000 to $74,999",Internet
653,74,Female,White,College and above,"$20,000 to $74,999",Doctor
654,37,Female,White,College and above,"$75,000 or more",Internet
655,45,Female,White,Under College,"$20,000 to $74,999",Doctor
657,64,Female,White,College and above,"$20,000 to $74,999",Doctor
658,74,Female,White,Under College,"$20,000 to $74,999",Internet
660,76,Female,White,College and above,"$20,000 to $74,999",Internet
661,67,Male,White,Under College,"$20,000 to $74,999",Internet
662,25,Male,White,Under College,"$20,000 to $74,999",Internet
665,48,Female,White,Under College,"$75,000 or more",Internet
666,50,Female,White,College and above,"$20,000 to $74,999",Internet
668,66,Male,White,College and above,"$75,000 or more",Others
670,34,Female,White,Under College,"$20,000 to $74,999",Internet
672,33,Female,White,College and above,"$75,000 or more",Internet
674,66,Male,White,College and above,"$20,000 to $74,999",Internet
675,43,Male,White,College and above,"$20,000 to $74,999",Internet
676,55,Female,White,College and above,"$75,000 or more",Internet
679,75,Female,White,College and above,"$75,000 or more",Internet
681,88,Male,White,College and above,"$20,000 to $74,999",Doctor
682,67,Female,White,College and above,"$20,000 to $74,999",Internet
683,42,Female,White,College and above,"$75,000 or more",Internet
684,67,Female,White,College and above,"$20,000 to $74,999",Internet
685,40,Male,White,College and above,"$75,000 or more",Internet
688,65,Female,White,College and above,"$0 to $19,999",Internet
689,31,Female,White,College and above,"$20,000 to $74,999",Internet
693,49,Male,Others,College and above,"$75,000 or more",Internet
694,91,Male,White,College and above,"$20,000 to $74,999",Doctor
695,74,Female,White,College and above,"$20,000 to $74,999",Doctor
698,56,Male,White,Under College,"$75,000 or more",Internet
699,38,Female,White,College and above,"$75,000 or more",Internet
700,70,Male,White,Under College,"$0 to $19,999",Internet
701,76,Female,White,College and above,"$20,000 to $74,999",Internet
702,67,Female,White,College and above,"$20,000 to $74,999",Others
704,77,Male,White,College and above,"$75,000 or more",Internet
706,26,Female,White,College and above,"$20,000 to $74,999",Internet
708,78,Female,White,College and above,"$0 to $19,999",Others
711,33,Female,White,College and above,"$20,000 to $74,999",Internet
712,57,Female,White,Under College,"$20,000 to $74,999",Internet
713,63,Female,Others,Under College,"$20,000 to $74,999",Internet
715,46,Male,White,College and above,"$75,000 or more",Internet
717,47,Female,White,College and above,"$75,000 or more",Internet
718,64,Female,White,Under College,"$20,000 to $74,999",Others
720,69,Female,White,Under College,"$20,000 to $74,999",Internet
721,90,Male,White,Under College,"$20,000 to $74,999",Others
722,49,Male,White,College and above,"$75,000 or more",Internet
723,51,Female,White,Under College,"$20,000 to $74,999",Others
724,75,Female,White,Under College,"$20,000 to $74,999",Internet
726,52,Male,White,College and above,"$75,000 or more",Internet
727,66,Female,White,Under College,"$20,000 to $74,999",Doctor
730,45,Female,White,College and above,"$75,000 or more",Internet
731,55,Female,White,Under College,"$0 to $19,999",Internet
732,63,Male,White,Under College,"$20,000 to $74,999",Others
733,25,Female,White,College and above,"$75,000 or more",Internet
734,75,Female,White,Under College,"$0 to $19,999",Others
735,68,Female,White,Under College,"$20,000 to $74,999",Internet
738,51,Female,White,College and above,"$75,000 or more",Internet
739,44,Female,White,College and above,"$75,000 or more",Internet
740,30,Female,White,College and above,"$0 to $19,999",Internet
741,65,Male,White,College and above,"$75,000 or more",Internet
742,38,Female,White,College and above,"$75,000 or more",Internet
743,42,Female,White,College and above,"$75,000 or more",Internet
744,61,Female,White,Under College,"$20,000 to $74,999",Internet
745,84,Female,White,Under College,"$20,000 to $74,999",Others
748,36,Female,Others,Under College,"$20,000 to $74,999",Doctor
749,74,Female,White,College and above,"$75,000 or more",Internet
750,33,Female,White,College and above,"$75,000 or more",Internet
753,66,Female,White,College and above,"$75,000 or more",Internet
755,60,Female,White,College and above,"$75,000 or more",Internet
757,72,Male,White,College and above,"$75,000 or more",Internet
758,77,Male,White,College and above,"$75,000 or more",Internet
759,63,Male,White,College and above,"$20,000 to $74,999",Internet
760,59,Female,White,College and above,"$75,000 or more",Internet
762,51,Male,White,College and above,"$75,000 or more",Internet
763,83,Female,White,Under College,"$0 to $19,999",Others
765,33,Female,White,College and above,"$75,000 or more",Internet
766,38,Male,White,College and above,"$75,000 or more",Internet
767,66,Male,White,College and above,"$20,000 to $74,999",Others
768,31,Male,White,Under College,"$75,000 or more",Internet
769,66,Female,White,College and above,"$75,000 or more",Internet
770,48,Female,White,Under College,"$20,000 to $74,999",Internet
772,67,Male,White,College and above,"$20,000 to $74,999",Internet
774,64,Male,White,Under College,"$75,000 or more",Others
775,70,Female,White,Under College,"$0 to $19,999",Internet
778,34,Female,White,College and above,"$75,000 or more",Internet
782,56,Female,White,College and above,"$20,000 to $74,999",Internet
785,76,Female,White,Under College,"$20,000 to $74,999",Internet
786,34,Male,White,College and above,"$75,000 or more",Internet
787,62,Female,White,Under College,"$75,000 or more",Internet
788,49,Female,White,Under College,"$0 to $19,999",Doctor
789,37,Male,White,College and above,"$75,000 or more",Others
790,27,Male,White,College and above,"$75,000 or more",Internet
791,57,Male,White,Under College,"$20,000 to $74,999",Others
792,59,Female,White,Under College,"$20,000 to $74,999",Internet
793,53,Male,White,College and above,"$75,000 or more",Internet
794,27,Female,White,Under College,"$20,000 to $74,999",Internet
795,65,Male,White,College and above,"$75,000 or more",Internet
798,63,Female,White,College and above,"$75,000 or more",Internet
800,52,Female,White,Under College,"$20,000 to $74,999",Doctor
801,56,Male,White,Under College,"$20,000 to $74,999",Internet
802,51,Male,White,Under College,"$75,000 or more",Doctor
803,50,Male,White,College and above,"$75,000 or more",Others
804,69,Female,White,Under College,"$75,000 or more",Internet
808,67,Male,White,Under College,"$20,000 to $74,999",Internet
